domain1,mx1,provider1
@jsgroup.pk,20 mx20.antispam.mailspamprotection.com. / 30 mx30.antispam.mailspamprotection.com. / 10 mx10.antispam.mailspamprotection.com.,Third Party
@jsgroup.pk,20 mx20.antispam.mailspamprotection.com. / 30 mx30.antispam.mailspamprotection.com. / 10 mx10.antispam.mailspamprotection.com.,Third Party
@pkbsl.com,20 d273777b.ess.barracudanetworks.com. / 10 d273777a.ess.barracudanetworks.com.,Third Party
@pkbsl.com,20 d273777b.ess.barracudanetworks.com. / 10 d273777a.ess.barracudanetworks.com.,Third Party
@pkbsl.com,20 d273777b.ess.barracudanetworks.com. / 10 d273777a.ess.barracudanetworks.com.,Third Party
 ,,N/A
@bt.com,10 btgroupcloud-mail-onmicrosoft-com.mail.protection.outlook.com.,Microsoft
@bt.com,10 btgroupcloud-mail-onmicrosoft-com.mail.protection.outlook.com.,Microsoft
@bt.com,10 btgroupcloud-mail-onmicrosoft-com.mail.protection.outlook.com.,Microsoft
@bt.com,10 btgroupcloud-mail-onmicrosoft-com.mail.protection.outlook.com.,Microsoft
@jazz.com.pk,0 jazz-com-pk.mail.protection.outlook.com.,Microsoft
@bureauveritas.com,20 mxb-0037c801.gslb.pphosted.com. / 20 mxa-0037c801.gslb.pphosted.com.,Third Party
@bureauveritas.com,20 mxb-0037c801.gslb.pphosted.com. / 20 mxa-0037c801.gslb.pphosted.com.,Third Party
@bureauveritas.com,20 mxb-0037c801.gslb.pphosted.com. / 20 mxa-0037c801.gslb.pphosted.com.,Third Party
@bureauveritas.com,20 mxb-0037c801.gslb.pphosted.com. / 20 mxa-0037c801.gslb.pphosted.com.,Third Party
@bykea.com,1 aspmx.l.google.com. / 10 alt3.aspmx.l.google.com. / 10 alt4.aspmx.l.google.com. / 5 alt1.aspmx.l.google.com. / 5 alt2.aspmx.l.google.com.,Google
@cleveltech.com,0 mail.cleveltech.com.,Third Party
@mobizone.com.pk,10 mail.mobizone.com.pk.,Third Party
@mobizone.com.pk,10 mail.mobizone.com.pk.,Third Party
